Year,Value,SERIES,UNIT_MEASURE
2010,4.7,сайгак,пайыз
2010,0.7,тугайный благородный олень,пайыз
2010,0.9,кулан,пайыз
2010,-25.1,джейран,пайыз
2010,2.6,архар,пайыз
2011,19.3,сайгак,пайыз
2011,7.1,тугайный благородный олень,пайыз
2011,16.8,кулан,пайыз
2011,4.3,джейран,пайыз
2011,2.0,архар,пайыз
2012,34.8,сайгак,пайыз
2012,3.1,тугайный благородный олень,пайыз
2012,10.3,кулан,пайыз
2012,2.0,джейран,пайыз
2012,4.7,архар,пайыз
2013,36.0,сайгак,пайыз
2013,3.4,тугайный благородный олень,пайыз
2013,6.1,кулан,пайыз
2013,0.8,джейран,пайыз
2013,1.4,архар,пайыз
2014,37.3,сайгак,пайыз
2014,4.5,тугайный благородный олень,пайыз
2014,5.1,кулан,пайыз
2014,1.5,джейран,пайыз
2014,6.6,архар,пайыз
2015,15.1,сайгак,пайыз
2015,4.5,тугайный благородный олень,пайыз
2015,5.1,кулан,пайыз
2015,1.5,джейран,пайыз
2015,6.6,архар,пайыз
2016,-63.3,сайгак,пайыз
2016,42.3,тугайный благородный олень,пайыз
2016,5.89,кулан,пайыз
2016,0.16,джейран,пайыз
2016,1.7,архар,пайыз
2017,40.9,сайгак,пайыз
2017,15.2,тугайный благородный олень,пайыз
2017,4.6,кулан,пайыз
2017,3.8,джейран,пайыз
2017,5.1,архар,пайыз
2018,41.0,сайгак,пайыз
2018,3.7,тугайный благородный олень,пайыз
2018,2.9,кулан,пайыз
2018,2.3,джейран,пайыз
2018,1.5,архар,пайыз
2019,55.5,сайгак,пайыз
2019,2.5,тугайный благородный олень,пайыз
2019,2.3,кулан,пайыз
2019,2.3,джейран,пайыз
2019,5.2,архар,пайыз
