Year,Value,SERIES,UNIT_MEASURE
2012,1571.7,,мың бірлік
2012,470.2,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2012,720.8,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2013,1958.8,,мың бірлік
2013,294.0,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2013,906.6,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2014,2093.2,,мың бірлік
2014,264.2,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2014,881.4,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2015,2301.0,,мың бірлік
2015,271.6,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2015,767.1,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2016,2349.9,,мың бірлік
2016,197.4,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2016,837.7,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2017,2576.0,,мың бірлік
2017,71.3,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2017,987.3,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2018,2461.3,,мың бірлік
2018,67.4,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2018,1020.8,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
2019,2511.2,,мың бірлік
2019,52.7,от 256 кБит/сек до менее 2 Мбит/сек,мың бірлік
2019,1006.1,от 2 Мбит/сек до менее 10 Мбит/сек,мың бірлік
